6,10,130,5,0,3,2
4,10,130,1,0,3,2
4,10,130,1,0,3,2
4,10,130,5,0,3,2
6,10,130,16,0,3,2
6,10,130,14,0,1,4
6,10,130,16,0,1,4
1,7,130,16,0,1,2
1,7,130,16,0,1,2
1,7,130,16,0,1,2
6,8,130,16,0,1,2
6,7,130,16,0,2,3
6,5,130,16,0,2,2
6,7,130,16,0,2,2
6,7,130,16,0,1,2
1,5,130,16,0,2,2
1,5,130,16,0,2,2
1,5,130,16,0,2,2
6,7,130,16,0,1,2
1,8,130,16,0,1,2
6,7,130,16,0,1,2
6,9,131,16,0,0,4
4,10,130,1,0,3,4
6,8,130,16,0,3,4
5,9,130,10,0,3,2
6,9,130,6,0,3,2
6,9,130,8,0,3,2
6,8,130,14,0,3,2
6,8,130,14,0,3,3
6,7,130,16,0,3,2
6,7,131,13,0,3,2
6,7,131,13,0,3,3
1,9,130,16,0,3,2
1,10,130,16,0,3,4
1,10,130,16,0,3,4
6,7,130,16,0,4,2
6,6,130,16,0,4,2
6,8,130,16,0,3,2
1,10,130,16,0,3,2
2,10,130,5,0,5,2
2,9,130,5,0,5,2
6,6,130,16,0,3,4
6,6,130,16,0,3,4
4,10,130,8,0,3,2
4,8,130,5,0,3,2
4,10,130,5,0,3,2
4,9,130,4,0,3,2
4,10,130,4,0,3,2
6,9,130,5,0,3,2
6,9,130,11,0,3,3
6,9,130,11,0,3,2
6,8,130,14,0,3,4
6,9,130,11,0,3,4
6,8,130,16,0,4,2
6,7,130,16,0,5,2
6,10,130,16,0,5,2
6,5,130,16,0,6,2
1,8,130,16,0,4,2
6,8,130,16,0,4,2
2,7,130,16,0,5,3
2,10,130,16,0,5,3
6,10,130,11,0,5,2
6,8,130,16,0,5,2
6,9,130,16,0,5,2
6,9,130,14,0,5,2
1,8,130,16,0,6,2
6,8,130,16,0,6,2
2,10,130,2,0,4,3
6,8,130,16,0,5,3
1,9,130,16,0,5,4
1,9,130,16,0,5,4
1,5,130,16,0,5,2
1,6,130,16,0,4,2
6,9,130,16,0,3,4
6,9,130,16,0,3,4
6,8,130,16,0,4,2
1,8,130,16,0,4,3
1,8,130,16,0,4,3
2,10,130,10,0,4,2
2,10,130,3,0,4,2
6,10,130,16,0,4,3
